Date,Sticky_Price_CPI,Sticky_Price_CPI_Less_Shelter,Sticky_Price_CPI_Less_Food_Energy,Sticky_Price_CPI_Less_Food_Energy_Shelter,Trimmed_Mean_PCE_Inflation_Rate,16_Percent_Trimmed_Mean_CPI,Median_CPI,Flexible_Price_CPI,Flexible_Price_CPI_Less_Food_Energy
1983-12-01,4.377147631,4.208073522,4.465480085,4.315652121,3.63,3.87556837560323,4.2692914161004,3.017262119,6.637492764
1984-01-01,4.425435913,4.43661856,4.485762548,4.538306566,3.59,4.02646756100844,4.25586424702213,3.916634291,6.373551916
1984-02-01,4.471231217,4.493513636,4.524563869,4.586146661,3.64,4.0739565361489305,4.22932358461918,4.92476333,5.801148141
1984-03-01,4.575400021,4.440690297,4.65415841,4.539974153,3.79,4.14683084176317,4.25535592497561,5.179457982,6.210968611
1984-04-01,4.542161493,4.422483032,4.646319003,4.567245479,3.78,4.1544031880234,4.2259466134851005,4.498236733,6.474237514
1984-05-01,4.624311409,4.573684588,4.708074066,4.70038276,3.7,4.03771670216992,4.19494126817186,3.745819116,6.699676209
1984-06-01,4.697065373,4.656541427,4.787485493,4.796470013,3.71,4.03709405885704,4.3712178744972405,3.588976371,6.582641996
1984-07-01,4.823600793,4.710993468,4.897092721,4.807008983,3.8,4.099640717280439,4.455732084689349,3.300863021,6.102864084
1984-08-01,4.943342234,4.828997409,5.032939607,4.951070872,3.88,4.18368250346424,4.43864864014778,3.162223815,5.601281149
1984-09-01,4.987028264,4.890255381,5.140612141,5.12176722,3.86,4.22950169818941,4.408636502776339,3.096117846,5.184120652
1984-10-01,4.938077332,4.786900424,5.103857709,5.026105154,3.94,4.20488301585435,4.30729016112668,3.135667925,4.840725721
1984-11-01,4.820389624,4.655362683,4.968986894,4.863138249,3.77,4.06999891462421,4.11692557306871,2.973454617,4.157135834
1984-12-01,4.927254642,4.745073267,5.052939222,4.911430559,3.88,4.0526671359909905,4.10800843119741,2.757164457,3.798133445
1985-01-01,4.594186034,4.250429031,4.726710471,4.392038884,3.73,3.80566019509696,3.95977251812427,2.170723186,3.759300393
1985-02-01,4.735431995,4.297193122,4.871701461,4.423987451,3.82,3.87702027384598,4.03983073578131,1.990830603,4.649502179
1985-03-01,4.811491167,4.499341948,4.962072036,4.677737858,3.82,3.96099172668063,4.10560154060882,2.265703261,4.422035971
1985-04-01,4.633397262,4.470355471,4.754134291,4.632960618,3.61,3.80868683798972,4.10725077288716,2.188510942,3.762550305
1985-05-01,4.878042931,4.376163887,5.037120921,4.526427613,3.69,3.78413718792332,4.09966170235319,1.80411093,2.714215349
1985-06-01,4.916405631,4.409571462,5.05654234,4.527718804,3.75,3.8894178277727,4.13253941086853,1.822888928,2.343941109
1985-07-01,4.788995689,4.345703213,4.948295318,4.509905509,3.55,3.7477039570724497,3.94182454860663,1.615458967,1.714158208
1985-08-01,4.792136104,4.212487124,4.94547442,4.336684654,3.54,3.4977702348606403,3.83936631324331,1.012532932,1.336733731
1985-09-01,4.70220158,4.181583569,4.7871651,4.206636901,3.5,3.4191554810831404,3.7538971034198703,0.973067836,1.367924051
1985-10-01,4.823756291,4.289798388,4.891950804,4.284403628,3.46,3.4062688449604304,3.7510830683529197,0.741710211,1.320564917
1985-11-01,5.050456594,4.394954118,5.149995169,4.414799541,3.61,3.6311895470637796,3.98280103784825,1.339061214,1.536561998
1985-12-01,4.914869031,4.280391431,5.030732007,4.331861804,3.62,3.7447851017191405,3.9461385852988,2.084711496,1.763321811
1986-01-01,5.174584068,4.620183749,5.296961132,4.700085303,3.72,3.81596745869253,4.05878103319792,1.972696149,1.59129617
1986-02-01,4.996538315,4.57658679,5.124947576,4.696165868,3.47,3.48821407624909,3.85683803777763,0.438922443,0.434586251
1986-03-01,5.085772292,4.494205619,5.229854261,4.601905974,3.28,3.2894955712963903,3.8297318125608504,-1.961601045,-0.166160458
1986-04-01,5.221268884,4.498944074,5.370857251,4.586863035,3.33,3.2620920991261806,3.8028658213344197,-3.626908053,-0.305037932
1986-05-01,4.929251311,4.533484094,5.040741681,4.630967907,3.26,3.25580519505908,3.7133401651287206,-3.151327523,0.070250775
1986-06-01,4.933546871,4.589392605,5.042080888,4.693402346,3.24,3.24325268655254,3.58538534572059,-2.762930701,0.057698412
1986-07-01,4.886928617,4.612108459,4.975291061,4.698129592,3.27,3.2723023631315202,3.71827805197102,-3.105379454,0.595269057
1986-08-01,4.743393533,4.549196539,4.838260997,4.663951905,3.19,3.37704791290876,3.7034986480491696,-2.819638339,0.886632188
1986-09-01,4.842261218,4.543152416,4.962973389,4.677568866,3.2,3.4234550403657202,3.7494854420781203,-2.606661343,0.995562011
1986-10-01,4.744666482,4.397589912,4.897657302,4.5749434,3.27,3.3997396804040294,3.8084447555620597,-2.947548511,0.937526797
1986-11-01,4.493195622,4.252299421,4.591247998,4.362112351,3.2,3.21104294191479,3.74368244196006,-3.360890794,1.014466603
1986-12-01,4.560487653,4.461544456,4.64519092,4.582559314,3.13,3.14553967715558,3.8142257642835404,-3.721001566,0.927939581
1987-01-01,4.434686849,4.333645351,4.481798225,4.388389906,3.16,3.27464971916314,3.8913716652414303,-2.57838573,1.397895934
1987-02-01,4.389380841,4.157761126,4.44093159,4.192360279,3.22,3.4341139555640097,3.90542273305929,-0.862148232,1.7722676
1987-03-01,4.22613005,4.155083433,4.263792189,4.203717708,3.41,3.48902384590331,3.85653379938464,1.311323728,2.463180154
1987-04-01,4.282098845,4.206536684,4.358079784,4.323319141,3.57,3.70026704538868,3.9032139376327097,3.204518046,3.224806353
1987-05-01,4.3216431,4.138264927,4.416917659,4.262355193,3.66,3.83358488780647,4.09297455308371,3.385517127,3.813710683
1987-06-01,4.097082798,3.88819209,4.175391862,3.975187035,3.6,3.7802938391420002,4.04876451269389,3.684944246,4.146252494
1987-07-01,4.107141787,3.971880784,4.166490008,4.044673399,3.59,3.82667067186708,4.06277541192652,4.366195762,4.143204399
1987-08-01,4.21773301,3.982892306,4.280898407,4.040928317,3.74,3.96045002979644,4.06530771806861,5.033045122,4.267072121
1987-09-01,4.234592066,4.055717173,4.291035748,4.114883852,3.71,4.03083681833587,4.167000312687461,4.919935969,4.34892807
1987-10-01,4.286826485,4.007175562,4.343067431,4.046104329,3.73,4.0738887396806405,4.13480793805538,5.262990478,4.647148194
1987-11-01,4.251599844,4.013532241,4.314664296,4.07310103,3.72,4.09745244556969,4.02798191764919,5.406471387,4.71584218
